ENTITY_STABLE_ID	NAME	DESCRIPTION	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-FM-8000-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
1p_status	1p	Copy number status of 1p	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged
1q_status	1q	Copy number status of 1q	Unchanged	NA	Unchanged	NA	Unchanged	Unchanged	Gain	Loss	NA	Unchanged	Unchanged	NA	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Gain	NA	NA	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Gain	Unchanged	Unchanged	NA	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	NA	Unchanged	Loss	Unchanged	Loss	Gain
2p_status	2p	Copy number status of 2p	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	NA	Unchanged	Gain	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged
2q_status	2q	Copy number status of 2q	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	NA	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	NA	NA	NA	Unchanged	Unchanged	Loss	Unchanged	NA	Unchanged
3p_status	3p	Copy number status of 3p	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	NA	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Gain	Unchanged	Unchanged	NA	NA	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Loss	Unchanged	NA	Unchanged	NA	Gain	Unchanged	Loss	Gain	Unchanged	Gain	Unchanged	Loss	Unchanged
3q_status	3q	Copy number status of 3q	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Unchanged	Unchanged	NA	Unchanged	Gain	Unchanged	Unchanged	NA	NA	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	NA	Unchanged	Gain	Unchanged	Loss	Unchanged	Gain	Unchanged	Gain	Gain	NA	Loss	Gain	Unchanged	Gain	Unchanged	Loss	Unchanged
4p_status	4p	Copy number status of 4p	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged
4q_status	4q	Copy number status of 4q	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	NA	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged
5p_status	5p	Copy number status of 5p	Unchanged	Unchanged	NA	Unchanged	NA	Unchanged	Gain	Loss	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Gain	Gain	Unchanged	Unchanged	Unchanged	Loss	Unchanged
5q_status	5q	Copy number status of 5q	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Loss	Unchanged	Gain	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Gain	NA	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged
