Composite.Element.REF	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6914-01	TCGA-FA-8693-01	TCGA-FM-8000-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FA-A7Q1-01	TCGA-FF-A7CW-01	TCGA-FA-A4BB-01	TCGA-FA-A7DS-01	TCGA-FA-A4XK-01	TCGA-RQ-A68N-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-RQ-A6JB-01	TCGA-FF-A7CR-01	TCGA-FF-A7CX-01	TCGA-VB-A8QN-01	TCGA-GS-A9TT-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U4-01
YWHAE|14-3-3_epsilon	-0.663146287	-0.666293948	-0.747112848	-0.869316941	-0.900591564	-0.751252855	-0.764088325	-0.247278919	-0.152785896	-0.771249175	-0.738971042	-0.569187924	-0.894378189	-0.507338766	-0.691746109	-0.711436642	-0.704894822	-0.403565556	-0.879104268	-0.715655727	-0.706744345	-0.707598638	-0.796495407	-0.729753218	-0.538787584	-0.539370408	-0.99243538	-0.703292837	-0.583244379	-0.84251463	-0.903825766	-0.839705044	-0.791793383
EIF4EBP1|4E-BP1	0.574324141	1.242172843	0.759963442	0.601619766	0.431877912	0.772700789	0.106809918	0.458463895	1.410486439	0.649133311	0.842592542	0.515429442	0.18461664	0.113272827	0.205823808	0.223866715	0.32047088	0.389118195	0.75695664	0.280663456	0.501219739	0.2618893	0.213551402	0.723007734	0.495336744	0.806031097	0.769720404	0.842862422	0.395405352	0.397826877	0.35990555	0.647771057	0.355706736
EIF4EBP1|4E-BP1_pS65	0.630869701	0.730379031	0.194895712	0.147132306	0.605922192	0.486338331	0.340309992	0.7053082	1.714083676	0.656019063	0.417145033	0.44333951	0.579151567	0.478274811	0.559376808	0.321181507	0.247951459	0.394758622	0.680873366	0.360722776	0.700619676	0.764848296	0.476060695	0.734673522	0.78786718	0.59625474	0.629578837	0.510080507	0.59743267	0.689213549	0.731147042	0.815379711	0.236321747
EIF4EBP1|4E-BP1_pT37T46	0.183928846	1.877010397	0.486053227	0.156874368	1.644485212	-0.221095957	1.323088949	0.025196011	2.040907676	0.694025132	1.046518108	0.420742575	0.85986855	-0.967299258	1.425345917	0.794617749	1.294435595	0.354689088	-1.184560265	0.126617539	1.577756392	1.368371507	1.732282279	1.640649001	1.23684367	0.480551908	0.240870568	0.870542541	1.346272323	0.59314481	1.450956918	1.028570168	0.490099434
TP53BP1|53BP1	1.705084069	2.417514317	1.287271077	1.90853455	2.2553052	2.194652157	1.750854911	1.72585103	1.636137402	2.473344513	1.99074337	1.422903766	2.274859601	1.220538241	1.733869151	2.095864527	1.969271972	1.202245742	1.743216247	1.572968308	1.518513036	1.640745622	1.543161228	1.772951099	1.712210276	2.343087515	2.114117696	1.648418823	1.393930133	1.361799019	2.223206757	1.977504169	1.255156872
ACACA ACACB|ACC_pS79	-0.997385396	-0.105433806	0.18452109	0.191155983	-0.022960786	-0.289168582	-0.259381496	-0.161172769	-3.137251722	-0.521379097	-0.222563099	-0.6803571	-0.517163462	-0.454114962	-0.691781427	-0.119105341	-0.564670667	-0.106574704	-1.236383249	-0.333455425	-0.58108474	-0.390196702	-0.262397405	-1.351358347	-0.22630844	-0.69733013	-0.070195267	-1.14749926	-0.553015011	-0.780109288	-0.365793823	-1.124010923	-0.358995414
ACACA|ACC1	0.835933747	1.623793074	1.966119803	2.209993744	1.678986856	1.808489855	1.437499042	1.578425906	-0.753498798	1.430303001	1.568481347	1.452460961	1.272851443	2.657857472	0.842114637	1.545931113	1.104054857	1.82430513	1.405674918	1.983367967	1.364192732	1.145704489	1.216056265	0.465289232	1.436242583	1.287834183	1.781496302	1.055893501	1.32669691	1.275585379	1.234496113	0.62960015	1.043399275
AKT1 AKT2 AKT3|Akt	0.545933308	0.256066787	0.694699125	0.533581337	0.780880405	0.761679866	0.765701075	1.090314795	0.599332922	1.18843731	0.757620306	1.314313457	0.988460518	0.874215087	0.931194236	1.380681479	0.772546314	1.191473352	0.817487472	1.072119957	0.937391436	1.091514312	0.826595395	0.56144983	0.852395224	0.527539035	1.074807513	0.246471772	1.262802466	0.68934431	1.065096139	0.405483565	0.977083631
AKT1 AKT2 AKT3|Akt_pS473	-1.97424116	-1.132605464	-0.740558017	-1.030732508	-0.535885546	-1.840235418	-0.415305572	-1.247713243	-0.818832577	-0.752311944	-1.237941161	-1.666260741	-1.651834961	-1.756535462	0.976224439	-0.089899886	-0.955765983	-0.627032329	-2.056151452	-1.638550203	-0.762630993	-0.545365412	-0.436315046	-0.802692934	-1.142345711	-1.504342377	-1.973786362	-1.51703446	-0.801085674	-1.307993615	-0.324787114	-1.623885291	-0.647322988
AKT1 AKT2 AKT3|Akt_pT308	-0.859859817	-0.384999484	-0.31459726	-0.37041112	-0.122888293	-0.896393688	-0.01842573	-0.642308062	0.545659397	-0.536735745	-0.689014247	-0.64568525	-0.35309359	-0.632205143	1.108274344	-0.204257692	-0.376628803	-0.133526414	-0.644652748	-0.670048546	-0.431305407	-0.167611114	-0.162993149	0.138031157	-0.493637277	-0.537637804	-0.683240522	-0.708321633	-0.291364698	-0.671744239	0.086952212	-0.668604227	0.128995297
