Composite.Element.REF	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6914-01	TCGA-FA-8693-01	TCGA-FM-8000-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FA-A7Q1-01	TCGA-FF-A7CW-01	TCGA-FA-A4BB-01	TCGA-FA-A7DS-01	TCGA-FA-A4XK-01	TCGA-RQ-A68N-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-RQ-A6JB-01	TCGA-FF-A7CR-01	TCGA-FF-A7CX-01	TCGA-VB-A8QN-01	TCGA-GS-A9TT-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U4-01
YWHAE|14-3-3_epsilon	0.1934	0.1758	-0.2763	-0.9598	-1.1348	-0.2994	-0.3712	2.5197	3.0482	-0.4113	-0.2307	0.719	-1.1	1.065	0.0334	-0.0767	-0.0401	1.6454	-1.0146	-0.1003	-0.0504	-0.0552	-0.5525	-0.1792	0.8891	0.8858	-1.6485	-0.0311	0.6404	-0.8099	-1.1529	-0.7942	-0.5262
EIF4EBP1|4E-BP1	0.1365	2.3788	0.7598	0.2282	-0.3417	0.8026	-1.4331	-0.2524	2.9438	0.3877	1.0372	-0.0612	-1.1718	-1.4114	-1.1006	-1.0401	-0.7157	-0.4853	0.7497	-0.8494	-0.1089	-0.9124	-1.0747	0.6357	-0.1286	0.9145	0.7926	1.0381	-0.4642	-0.456	-0.5833	0.3831	-0.5974
EIF4EBP1|4E-BP1_pS65	0.2083	0.5771	-1.4073	-1.5843	0.1159	-0.3273	-0.8684	0.4842	4.2224	0.3015	-0.5837	-0.4866	0.0167	-0.3571	-0.0566	-0.9393	-1.2107	-0.6666	0.3936	-0.7928	0.4668	0.7048	-0.3653	0.593	0.7901	0.0801	0.2035	-0.2393	0.0844	0.4245	0.5799	0.8921	-1.2538
EIF4EBP1|4E-BP1_pT37T46	-0.8174	1.4247	-0.4173	-0.8532	1.1168	-1.3538	0.6912	-1.0276	1.6418	-0.1419	0.3249	-0.5038	0.0777	-2.3419	0.8266	-0.0087	0.6532	-0.5913	-2.6296	-0.8933	1.0284	0.7511	1.2331	1.1117	0.577	-0.4246	-0.742	0.0919	0.7219	-0.2755	0.8605	0.3012	-0.4119
TP53BP1|53BP1	-0.2381	1.7481	-1.4029	0.3291	1.2959	1.1268	-0.1105	-0.1802	-0.4303	1.9038	0.5583	-1.0248	1.3504	-1.589	-0.1578	0.8514	0.4985	-1.64	-0.1318	-0.6064	-0.7582	-0.4174	-0.6895	-0.0489	-0.2182	1.5406	0.9023	-0.3961	-1.1056	-1.1951	1.2064	0.5214	-1.4924
ACACA ACACB|ACC_pS79	-0.7603	0.7355	1.2217	1.2329	0.8738	0.4274	0.4773	0.642	-4.3487	0.038	0.5391	-0.2286	0.0451	0.1508	-0.2478	0.7126	-0.0346	0.7336	-1.161	0.3531	-0.0621	0.258	0.4723	-1.3539	0.5328	-0.2571	0.7946	-1.012	-0.0151	-0.3959	0.2989	-0.9726	0.3103
ACACA|ACC1	-0.909	0.4691	1.0678	1.4944	0.5656	0.7921	0.1432	0.3897	-3.6891	0.1306	0.3723	0.1694	-0.1448	2.2777	-0.8982	0.3329	-0.44	0.8198	0.0875	1.098	0.015	-0.3672	-0.2441	-1.5573	0.141	-0.1186	0.7449	-0.5243	-0.0506	-0.14	-0.2119	-1.2699	-0.5461
AKT1 AKT2 AKT3|Akt	-1.0494	-2.0718	-0.5247	-1.093	-0.2208	-0.2885	-0.2743	0.8706	-0.8611	1.2167	-0.3028	1.6607	0.5114	0.1084	0.3094	1.8947	-0.2502	1.2274	-0.0917	0.8064	0.3312	0.8748	-0.0595	-0.9947	0.0315	-1.1143	0.8159	-2.1057	1.479	-0.5436	0.7817	-1.5448	0.4712
AKT1 AKT2 AKT3|Akt_pS473	-1.4489	-0.1324	0.4808	0.0269	0.8009	-1.2393	0.9895	-0.3125	0.3584	0.4624	-0.2972	-0.9672	-0.9446	-1.1084	3.1662	1.4985	0.1442	0.6584	-1.577	-0.9238	0.4463	0.7861	0.9567	0.3836	-0.1477	-0.7139	-1.4482	-0.7338	0.3861	-0.4068	1.1311	-0.9009	0.6266
AKT1 AKT2 AKT3|Akt_pT308	-1.2617	-0.1035	0.0682	-0.0679	0.5358	-1.3508	0.7906	-0.7311	2.1664	-0.4736	-0.845	-0.7393	-0.0257	-0.7065	3.5386	0.3373	-0.0831	0.5098	-0.7368	-0.7988	-0.2165	0.4267	0.4379	1.1722	-0.3685	-0.4758	-0.8309	-0.8921	0.1249	-0.8029	1.0476	-0.7952	1.1501
PRKAA1|AMPK_alpha	-0.2332	-0.5434	1.0989	-0.6098	0.2119	0.5568	-0.8808	1.2177	-0.3707	-0.6093	-1.578	-0.8848	1.3999	1.5274	1.3138	0.9173	-2.0484	0.5709	-0.2686	0.491	-0.5695	0.9531	-1.9939	1.1755	-0.7005	0.7462	0.9472	-1.8449	-0.4554	0.1092	0.1964	0.7	-0.5423
PRKAA1|AMPK_pT172	0.2797	-0.9791	1.2445	-0.4147	-0.4073	0.7334	-0.7855	0.9919	-0.8069	-0.217	-0.8945	-0.2429	1.6331	-1.2146	-0.3061	0.7934	-1.8231	0.9048	-0.3515	1.0901	-0.5702	0.9947	-1.7957	-1.5858	-0.4472	-0.7281	1.2271	-1.0073	0.5847	1.2735	0.3086	1.7729	0.7449
AR|AR	0.975	0.4109	-1.5663	1.1722	0.7454	0.7379	0.3819	0.1316	0.956	1.127	0.9806	-0.8185	0.4696	-1.0133	-1.0172	-1.3132	-0.2249	-1.5307	0.993	-0.6085	0.1293	0.3881	-0.575	0.3939	0.0022	0.9227	-1.5904	1.6504	-0.0763	0.22	0.4659	-0.0586	-2.8609
ASNS|ASNS	0.5414	0.8209	0.7487	1.8513	-0.4938	-0.419	0.3361	-0.3908	-2.2144	-0.1359	0.5246	-0.5906	1.3416	1.1506	-1.1566	-0.3454	-0.083	-0.1979	-0.2824	2.2316	0.8862	-0.5556	-0.5621	-1.4138	0.2077	0.6805	1.2605	0.3668	-1.7812	0.2152	-0.6371	-0.2272	-1.6769
ATM|ATM	-0.1356	1.5127	-0.3681	0.2473	0.5223	0.0665	0.3149	-0.5073	-0.7328	0.5196	-0.7323	0.3443	0.9055	0.0992	1.0446	0.1971	-0.0342	-0.0446	0.8095	0.7503	0.5799	0.8153	0.9445	-0.3954	0.0921	0.8504	-1.2316	-3.1717	-0.2555	-0.9909	1.6144	-2.3717	-1.2587
BAK1|Bak	-0.1823	-0.0608	-0.4415	-0.7282	-0.8836	0.7338	-0.8813	0.0142	3.779	-0.0563	-0.7301	-0.4545	-0.7545	0.6743	-0.4071	1.6829	-0.1478	1.0405	1.3361	0.4796	-0.5109	1.0774	0.1596	0.9012	-1.2475	0.0199	-1.3323	-0.6397	-0.8046	-0.7768	-0.8145	-0.1971	0.1529
BAX|Bax	-0.125	0.6257	-1.3158	-1.1565	-0.6088	2.0	-1.2929	1.3378	3.2149	0.2427	-1.5827	-0.3337	0.3292	-0.3137	0.7695	-0.9038	-0.2834	0.8446	-0.3242	0.0411	-0.6065	0.774	-1.2553	0.8089	-0.8462	-0.2758	0.1883	-0.4616	-0.1718	0.1738	-0.2771	1.2532	-0.4689
BCL2|Bcl-2	-0.8577	1.9375	-0.4522	-1.0022	1.8926	0.3036	-0.6182	-0.9233	-1.0436	0.9725	-1.0757	-0.7139	2.0578	-0.17	0.1396	0.2336	1.0009	-0.2231	1.2077	-1.7763	-0.6948	0.9192	1.4633	-0.9074	0.3973	0.1016	-1.5238	0.8464	-0.1865	-0.3859	0.1919	-0.1364	-0.9746
BCL2L1|Bcl-xL	-0.1914	-1.4703	1.391	0.1113	-1.0471	0.4215	-0.6431	-0.2121	0.8176	-0.5624	0.0758	0.4509	0.4259	0.7761	-0.9689	0.0222	0.0734	1.4028	-0.1957	-0.4866	-0.9194	-1.0127	-1.5875	2.298	-2.5858	0.5225	0.6663	0.4786	-0.279	-0.2894	0.0718	2.0874	0.3583
